RetroLootPro ID,Name,Platform,Condition,Barcode,Sell Price,Market Value,Label Price,Cost Basis,Quantity,Status,Category,Item Type,Clover Category,Issues
9d4f5e44-eea4-4cff-843a-90cc5d7e13e6,Need for Speed Most Wanted,GameCube,CIB,,0.00,36.08,35.99,16.04,1,available,Manual Entry,unknown,Video Games,missing barcode
91a28b84-19de-46ef-810f-1b2ad22c0604,Need for Speed Underground 2,Xbox,CIB,,0.00,18.93,18.99,24.73,1,available,Manual Entry,unknown,Video Games,missing barcode
801a49a6-6edc-4f30-93f7-b9816e779064,NFL 2K3,GameCube,CIB,,0.00,7.00,6.99,2.99,1,available,Manual Entry,unknown,Video Games,missing barcode
676e749f-60a7-4628-8341-890002a290d2,NFL Blitz 2002,GameCube,CIB,,0.00,15.00,14.99,6.42,1,available,Manual Entry,unknown,Video Games,missing barcode
294596f9-4811-4015-8168-74e75576a394,NFL Blitz 2003,GameCube,CIB,,0.00,21.52,21.99,9.20,1,available,Manual Entry,unknown,Video Games,missing barcode
0a828512-eff8-429f-997b-d8219ebb57b0,NFL Street,GameCube,CIB,,0.00,47.49,46.99,20.31,1,available,Manual Entry,unknown,Video Games,missing barcode
8e0207e6-9372-40f6-b419-32ce062e40b6,NFL Street 2,Xbox,CIB,,0.00,15.00,14.99,19.60,1,available,Manual Entry,unknown,Video Games,missing barcode
12d49863-7d40-4301-9ace-327310de82a4,NFL Street 2,Xbox,CIB,,0.00,15.00,14.99,19.60,1,available,Manual Entry,unknown,Video Games,missing barcode
a9bb3a5a-ce51-41c4-96a0-84a746f76f1c,NHL Hitz 2003,GameCube,CIB,,0.00,37.91,37.99,16.21,1,available,Manual Entry,unknown,Video Games,missing barcode
7ac4a4f6-7c79-4968-9bb4-5ba041f90ceb,PlayStation 2 8MB Memory Card,PlayStation 2,CIB,,0.00,15.54,15.99,20.30,1,available,Manual Entry,memory_card,Video Games,missing barcode
4186beb5-b227-4e55-9d01-476e57df551e,Pocket Bike Racer,Xbox,CIB,,0.00,0.00,0.00,0.00,1,available,Manual Entry,unknown,Video Games,missing price; missing barcode
e9b2b606-9b6f-4b98-8cfe-d663906bda9f,Pokémon XD Gale of Darkness,GameCube,CIB,,0.00,214.54,214.99,91.76,1,available,Manual Entry,game,Video Games,missing barcode
7e3eae70-80bd-471e-8fe2-a8117566e750,Project Gotham Racing,Xbox,CIB,,0.00,7.99,7.99,10.44,1,available,Manual Entry,unknown,Video Games,missing barcode
bb9b8b28-33b2-4654-b027-c2be6e5ee4f0,RC Revenge Pro,PlayStation 2,CIB,,0.00,11.73,11.99,15.33,1,available,Manual Entry,unknown,Video Games,missing barcode
120c6535-141e-4fd7-8eca-0979d7782748,Reel Fishing,PlayStation,CIB,,0.00,9.02,8.99,11.79,1,available,Manual Entry,unknown,Video Games,missing barcode
9bb2d2b5-da11-4543-b40a-f756b58caab4,Sega Bass Fishing Duel,PlayStation 2,CIB,,0.00,9.59,9.99,12.53,1,available,Manual Entry,game,Video Games,missing barcode
4332f427-d60f-4a87-b4da-3fa5f80389f6,Shinsengumi Gunrou-Den,PlayStation 2,CIB,4974365830878,0.00,0.00,0.00,0.00,1,available,Video Games,game,Video Games,missing price
27c0a535-fe55-40ec-a9a4-3d4c45b0f039,Skylanders Giants,Xbox 360,CIB,,0.00,40.00,39.99,52.26,1,available,Manual Entry,unknown,Video Games,missing barcode
dc5d2192-714f-4101-b70f-2ae7f003c330,Skylanders Swap Force,Xbox 360,CIB,,0.00,10.75,10.99,14.05,1,available,Manual Entry,unknown,Video Games,missing barcode
8fbd47c7-9aab-4c6a-a765-e75027280ca0,Sonic Boom Fire & Ice,3DS,CIB,,0.00,13.77,13.99,17.99,1,available,Manual Entry,unknown,Video Games,missing barcode
2ce01837-fe29-4943-8e1a-3d442e9db5c4,Star Wars Battlefront,Xbox,CIB,,0.00,15.65,15.99,20.45,1,available,Manual Entry,unknown,Video Games,missing barcode
6f459285-88f9-483c-aec3-ef2dfda7abd5,Star Wars Battlefront 2,Xbox,CIB,,0.00,15.65,15.99,20.45,1,available,Manual Entry,unknown,Video Games,missing barcode
2858ce0c-d4cc-4461-9d95-103e2c8d58db,Stuntman,PlayStation 2,CIB,,0.00,8.49,7.99,11.09,1,available,Manual Entry,unknown,Video Games,missing barcode
1ff06926-3fb6-4ec9-937c-d48811db7fd6,Team Elimination Games,Wii,CIB,,0.00,8.95,8.99,11.69,1,available,Manual Entry,game,Video Games,missing barcode
86d48349-b15e-4842-b9dc-be01f9ae0c1e,Tetris,Game Boy,CIB,,0.00,15.84,15.99,20.70,1,available,Manual Entry,unknown,Video Games,missing barcode
4ad3b494-178c-4e3f-8a0f-f2465d3ac5dd,Tetris,NES,CIB,,0.00,25.75,25.99,33.64,1,available,Manual Entry,unknown,Video Games,missing barcode
b38832c0-85d3-40c7-a5f7-a3d777753b5f,Tetris 2,Game Boy,CIB,,0.00,31.85,31.99,41.61,1,available,Manual Entry,unknown,Video Games,missing barcode
e8c34be1-68d1-41b8-82ab-b7e4c6891723,The Dukes of Hazzard Return of the General Lee,PlayStation 2,CIB,,0.00,25.00,24.99,32.66,1,available,Manual Entry,unknown,Video Games,missing barcode
e9f66890-2846-4ef8-bdb0-12d84e98bcf4,Tony Hawks Pro Skater 4,GameCube,CIB,,0.00,14.99,14.99,6.41,1,available,Manual Entry,unknown,Video Games,missing barcode
aa32058b-22c2-4c6f-87a0-efc52345c30c,Tony Hawks Pro Skater 4,GameCube,CIB,,0.00,14.99,14.99,6.41,1,available,Manual Entry,unknown,Video Games,missing barcode
616bcece-9eb0-4214-b290-431deda63be6,Tony Hawks Underground,GameCube,CIB,,0.00,19.99,19.99,8.55,1,available,Manual Entry,unknown,Video Games,missing barcode
