id,product_name,console,condition,status,saved_selected_market_value,saved_price_loose,saved_price_cib,pc_loose,pc_cib,pc_new,pc_graded,pc_selected_market_value,delta_selected,pc_product_id,pc_product_name,pc_platform,match_strategy,flag
e54f45cc-f686-4fa2-9919-ca975afbff0c,LEGO Pirates of the Caribbean: The Video Game,Xbox 360,CIB,available,10.99,8.83,10.99,9.83,0,0,0,0,-10.99,31409,LEGO Pirates of the Caribbean: The Video Game,Xbox 360,stored_id,ok
a9d185b3-d4ae-4f51-b09c-4a346c98624a,LEGO Star Wars III: The Clone Wars,DS,CIB,available,5.46,5.26,5.46,6.85,0,0,0,0,-5.46,31101,LEGO Star Wars III: The Clone Wars,Nintendo DS,upc,ok
8f6be7a7-001a-45d5-8955-ea155ded1f2a,LittleBigPlanet,PlayStation 3,CIB,available,10.39,8.36,10.39,7.5,0,0,0,0,-10.39,15824,LittleBigPlanet,Playstation 3,title_platform,ok
e813f496-d86a-4f5b-b2d0-51aa41fdfa75,LittleBigPlanet 3,PlayStation 3,CIB,sold,14.99,13.99,14.99,7.5,0,0,0,0,-14.99,15824,LittleBigPlanet,Playstation 3,title_platform,ok
17da42f3-7e2b-48b9-8273-744762d4ffcb,Lupin III: Columbus no Isan wa Akenisomaru,PlayStation 2,CIB,available,14.98,10.67,14.98,10.67,0,0,0,0,-14.98,117362,Lupin III: Columbus no Isan wa Akenisomaru,JP Playstation 2,title_only,ok
c95ab2a6-52e8-4c1f-a342-0488ff81280a,Madden 07,GameCube,CIB,available,6.65,6.54,6.65,4.97,0,0,0,0,-6.65,5428,Madden 2007,Playstation 2,title_only,ok
ce42bd7f-4d07-4fed-9a3a-0ed6e93780ae,Madden 2003,PlayStation 2,CIB,available,9.09,4.07,9.09,4.07,0,0,0,0,-9.09,5423,Madden 2003,Playstation 2,stored_id,ok
8ce209e0-45bc-478f-9698-63e08ce7332a,Madden 2006,PlayStation 2,CIB,available,1.9,1.9,0,1.9,0,0,0,0,-1.9,5427,Madden 2006,Playstation 2,title_only,ok
2a258fd0-6b90-46ba-a6bf-512205787b5b,Madden 2009,PlayStation 3,CIB,available,3.05,3.05,0,3.84,0,0,0,0,-3.05,14184,Madden 2009,Playstation 3,upc,ok
8e612953-da72-4f92-889f-27267d27bdf9,Madden 97,PlayStation,CIB,available,9.58,5.49,9.58,5.49,0,0,0,0,-9.58,14998,Madden 97,Playstation,title_platform,ok
3c4ba940-1175-47fc-92fc-e6cb72f0a12f,Madden 98,PlayStation,CIB,sold,4.51,4.51,0,4.92,0,0,0,0,-4.51,16426,Madden 98,Playstation,stored_id,ok
4813b7af-0b8e-42d1-ba3b-be319c16db3c,Madden NFL 10,PlayStation 3,CIB,available,5.99,3.49,5.99,3.49,0,0,0,0,-5.99,19478,Madden NFL 10,Playstation 3,title_only,ok
2bfe5c28-954e-4db7-9f8a-aff3d83b3ed0,Madden NFL 11,PlayStation 3,CIB,available,6.63,3.61,6.63,3.58,0,0,0,0,-6.63,21863,Madden NFL 11,Playstation 3,upc,ok
