id,product_name,console,condition,status,saved_selected_market_value,saved_price_loose,saved_price_cib,pc_loose,pc_cib,pc_new,pc_graded,pc_selected_market_value,delta_selected,pc_product_id,pc_product_name,pc_platform,match_strategy,flag
801c335e-e48e-471a-ae42-5e5f629ca1f3,007 Everything or Nothing,PlayStation 2,CIB,available,6.24,6.24,0,6.24,0,0,0,0,-6.24,5189,007 Everything or Nothing,Playstation 2,stored_id,ok
b86cab19-042e-486c-9a8f-893e93d14a5c,007 Night Fire,Xbox,CIB,available,8.83,8.62,8.83,8.62,0,0,0,0,-8.83,58721,007: Agent Under Fire,PAL Xbox,stored_id,ok
fe97ac7e-9c5d-41a6-bc60-bd439ea9b707,18 Wheeler American Pro Trucker,PlayStation 2,CIB,sold,8.31,6.86,8.31,6.78,0,0,0,0,-8.31,4945,18 Wheeler American Pro Trucker,Playstation 2,stored_id,ok
34d248c0-319b-4175-a146-9791d178d692,18 Wheeler American Pro Trucker,PlayStation 2,CIB,available,8.23,6.78,8.23,6.78,0,0,0,0,-8.23,4945,18 Wheeler American Pro Trucker,Playstation 2,stored_id,ok
4ed7f57e-d3e6-4ba2-873d-566f11ea3f65,7 Days to Die,PlayStation 4,CIB,available,13.78,13.57,13.78,13.57,0,0,0,0,-13.78,36692,7 Days to Die,Playstation 4,stored_id,ok
432eb054-edd4-423d-85c3-a49c0887dbb2,Ace Combat 5 Unsung War,PlayStation 2,CIB,available,9.96,9.96,0,10,0,0,0,0,-9.96,4953,Ace Combat 5 Unsung War,Playstation 2,stored_id,ok
9a95f99b-5fb8-4ea1-a2e8-5179b4a9a2db,American Ninja Warrior,PlayStation 4,CIB,available,7.35,7.17,7.35,7.17,0,0,0,0,-7.35,57981,American Ninja Warrior,Playstation 4,stored_id,ok
5354cc08-50aa-4be7-b8cf-99634d0fcfd1,Animal Crossing: City Folk,Wii,CIB,available,11,9.9,11,9.9,0,0,0,0,-11,3881074,Animal Crossing: City Folk,JP Wii,stored_id,ok
aaa7dea6-8a63-4dca-98f3-652a31c03a38,Arc the Lad: Seirei no Koukon,PlayStation 2,CIB,available,9.99,0,9.99,0,0,0,0,0,-9.99,6012014,Arc the Lad: Seirei no Koukon,JP Playstation 2,stored_id,ok
2e58d288-0d32-46b2-8371-9766cd8cd517,Are You Smarter Than A 5th Grader? Make the Grade,PlayStation 2,CIB,available,2.97,2.97,0,2.97,0,0,0,0,-2.97,18528,Are You Smarter Than A 5th Grader? Make the Grade,Playstation 2,stored_id,ok
